epoch,train_loss,train_acc,val_loss,val_acc
1,1.6287665670568292,0.23636363636363636,1.6650606348829449,0.22641509433962265
2,1.6477724010294135,0.2409090909090909,1.677968495296982,0.18867924528301888
3,1.5451417814601551,0.3,1.6497102638460555,0.2641509433962264
4,1.4968951507048174,0.31363636363636366,1.6301153493377398,0.2641509433962264
5,1.4452757250178945,0.40454545454545454,1.6168168198387578,0.2830188679245283
6,1.3962474888021297,0.41363636363636364,1.6175303009321105,0.24528301886792453
7,1.375506854057312,0.4590909090909091,1.6232096878987439,0.2641509433962264
8,1.3392105080864647,0.4863636363636364,1.6198891716183357,0.24528301886792453
9,1.3267639528621327,0.5,1.620989907462642,0.20754716981132076
10,1.2761876301331954,0.5590909090909091,1.6234240486936748,0.18867924528301888
