epoch,train_loss,train_acc,val_loss,val_acc
1,1.611085141027296,0.1891891891891892,1.5716909403894461,0.21568627450980393
2,1.603080231864173,0.2702702702702703,1.5636518001556396,0.23529411764705882
3,1.5468270488687463,0.32432432432432434,1.575938521646986,0.23529411764705882
4,1.458437376194172,0.36036036036036034,1.5952531333063162,0.23529411764705882
5,1.4210320743354592,0.40540540540540543,1.6008583354014976,0.27450980392156865
6,1.3626048876358583,0.44594594594594594,1.6050551311642516,0.29411764705882354
7,1.3815377091502283,0.45045045045045046,1.6204017213746613,0.27450980392156865
8,1.3371535754418589,0.4594594594594595,1.6225294178607417,0.29411764705882354
9,1.3052195224676046,0.5225225225225225,1.6225279289133407,0.29411764705882354
10,1.2936562450082452,0.5675675675675675,1.6227885811936622,0.29411764705882354
