epoch,train_loss,train_acc,val_loss,val_acc
1,1.6364941667107975,0.15384615384615385,1.6638185702837431,0.17307692307692307
2,1.5751147173109097,0.2579185520361991,1.6701910128960242,0.19230769230769232
3,1.5817143868536971,0.2398190045248869,1.6416601126010602,0.23076923076923078
4,1.4801089596424708,0.3936651583710407,1.6120537244356596,0.25
5,1.4412645220217122,0.45248868778280543,1.6106990850888765,0.25
6,1.4304237171535579,0.43891402714932126,1.6124778710878813,0.2692307692307692
7,1.347122159478891,0.48868778280542985,1.6022415161132812,0.2692307692307692
8,1.3599960949625904,0.48868778280542985,1.6030299205046434,0.28846153846153844
9,1.297497644143946,0.5475113122171946,1.6019262258823102,0.2692307692307692
10,1.312388273385855,0.5339366515837104,1.6009208880938017,0.2692307692307692
