epoch,train_loss,train_acc,val_loss,val_acc
1,1.6212667024360512,0.18396226415094338,1.791152934559056,0.22950819672131148
2,1.572085290584924,0.2688679245283019,1.7574390876488608,0.2459016393442623
3,1.540384441051843,0.32547169811320753,1.7229756585887221,0.21311475409836064
4,1.4473602052004833,0.36792452830188677,1.6892381105266634,0.29508196721311475
5,1.4035867160221316,0.4339622641509434,1.6757451315395167,0.2786885245901639
6,1.3687039838646942,0.4528301886792453,1.6760882119663427,0.21311475409836064
7,1.352854701707948,0.4716981132075472,1.6680615769057978,0.21311475409836064
8,1.370713566834072,0.4386792452830189,1.6756196295628782,0.22950819672131148
9,1.3090125592249744,0.4811320754716981,1.6722791351255823,0.26229508196721313
10,1.2940222587225572,0.5283018867924528,1.6719150855892995,0.2786885245901639
